names,Price,Area,Unit Type
Ahad Opus,56.50 L -1.03 Cr,1048-1184 sq.ft,2 BHK Apartment
Ahad Opus,75.11 L,1254 sq.ft,2.5 BHK Apartment
Ahad Opus,70.75 L -1.07 Cr,1622-1654 sq.ft,3 BHK Apartment
Brigade Altamont,72.95 L -90 L,1260-1270 sq.ft,2 BHK Apartment
Brigade Altamont,93 L -1.25 Cr,1670-1830 sq.ft,3 BHK Apartment
Purva The Sound Of Water,46.45 L -50.30 L,1028 sq.ft,2 BHK Apartment
Purva The Sound Of Water,52.08 L -64.30 L,1285-1328 sq.ft,3 BHK Apartment
Sky Court,1.44 Cr,3009 sq.ft,3 BHK Apartment
Sky Court,1.44 Cr -4.74 Cr,2611-3333 sq.ft,3 BHK Villa
Sky Court,3.50 Cr -6.32 Cr,3986-4067 sq.ft,4 BHK Villa
Aratt Milano,1 Cr -1.15 Cr,1296-1398 sq.ft,2 BHK Apartment
Aratt Milano,1.24 Cr -1.31 Cr,1697-1742 sq.ft,3 BHK Apartment
Brigade Orchards Luxury Apartments,50 L -62 L,1080-1360 sq.ft,2 BHK Apartment
Brigade Orchards Luxury Apartments,60 L -76 L,1290-1670 sq.ft,3 BHK Apartment
Brigade Orchards Luxury Apartments,3.70 Cr,4910 sq.ft,4 BHK Villa
MJR Clique Hydra,48.10 L,920 sq.ft,1.5 BHK Apartment
MJR Clique Hydra,48.40 L -67.76 L,1060-1170 sq.ft,2 BHK Apartment
MJR Clique Hydra,67.70 L,1300 sq.ft,2.5 BHK Apartment
MJR Clique Hydra,,1300 sq.ft,3 BHK Apartment
Sansidh Galaxy,1.67 Cr -1.72 Cr,2502-2576 sq.ft,4 BHK Apartment
Brigade Exotica - Burgundy Tower,40 L,900 sq.ft,0.5 BHK Apartment
Brigade Exotica - Burgundy Tower,30 L -42 L,607 sq.ft,1 BHK Apartment
Brigade Exotica - Burgundy Tower,46 L -72 L,962-1111 sq.ft,2 BHK Apartment
Brigade Exotica - Burgundy Tower,11 L -1.40 Cr,1373-1703 sq.ft,3 BHK Apartment
Brigade Exotica - Burgundy Tower,92.96 L -1.33 Cr,2075-2171 sq.ft,4 BHK Apartment
Prestige Jindal City,1.58 Cr -2.17 Cr,2640-3140 sq.ft,3 BHK Apartment
Prestige Jindal City,2.20 Cr -2.58 Cr,3630-3800 sq.ft,4 BHK Apartment
Prestige Jindal City,4.05 Cr -4.98 Cr,4500 sq.ft,5 BHK Apartment
Prestige Jindal City,4.05 Cr -4.98 Cr,4500-5540 sq.ft,5 BHK PentHouse
Emmanuel Heights,52.96 L -68 L,1197 sq.ft,2 BHK Apartment
Emmanuel Heights,69.57 L -1.10 Cr,1546-1811 sq.ft,3 BHK Apartment
Emmanuel Heights,1.02 Cr,2276 sq.ft,3 BHK PentHouse
Emmanuel Heights,1.30 Cr -1.48 Cr,2908-3291 sq.ft,3.5 BHK PentHouse
Emmanuel Heights,1.34 Cr -1.52 Cr,3288 sq.ft,4 BHK Apartment
The Address Makers Serenity,25.68 L -57.60 L,,Plot
Orbis BVS Avenues,19.80 L -39.60 L,1200-2400 sq.ft,Apartment
Orbis BVS Avenues,18.80 L -40 L,1200 sq.ft,Plot
Sobha Silicon Oasis,85.62 L -1.20 Cr,1365-1431 sq.ft,2 BHK Apartment
Sobha Silicon Oasis,1.03 Cr -1.78 Cr,1505-1935 sq.ft,3 BHK Apartment
Assetz Earth & Essence,2.36 Cr -2.52 Cr,2721-2877 sq.ft,3 BHK RowHouse
Assetz Earth & Essence,1.90 Cr -2.52 Cr,2721 sq.ft,3 BHK Villa
Assetz Earth & Essence,2.71 Cr -2.90 Cr,3061-3285 sq.ft,4 BHK RowHouse
Assetz Earth & Essence,2.20 Cr -2.90 Cr,3285 sq.ft,4 BHK Villa
Assetz Earth & Essence,3.60 Cr -3.65 Cr,4169 sq.ft,4+ BHK Villa
Assetz Earth & Essence,3.60 Cr -3.65 Cr,4117-4169 sq.ft,5 BHK RowHouse
Assetz Earth & Essence,3.60 Cr -3.65 Cr,4117 sq.ft,5 BHK Villa
Prestige Boulevard,64 L -70 L,1285-1420 sq.ft,2 BHK Apartment
Prestige Boulevard,74 L -85.50 L,1488-1735 sq.ft,3 BHK Apartment
Gopalan Sanskriti,68.05 L -97 L,1047-1068 sq.ft,2 BHK Apartment
Gopalan Sanskriti,1.03 Cr -1.29 Cr,1594-1638 sq.ft,3 BHK Apartment
Aratt Premier,73 L,1039 sq.ft,2 BHK Apartment
Aratt Premier,74.76 L -1.10 Cr,1259-1546 sq.ft,3 BHK Apartment
DSMAX STARRY,9.58 L -11.98 L,,Plot
DSMAX STARRY,61 L -1.44 Cr,1600 sq.ft,Plot
DSMAX STARRY,45.50 L -80 L,950-1072 sq.ft,2 BHK Apartment
DSMAX STARRY,56.13 L -1.70 Cr,1172-1242 sq.ft,3 BHK Apartment
DSMAX STARRY,1.04 Cr,2185 sq.ft,4 BHK Apartment
Bhartiya City Nikoo Homes,9.58 L -11.98 L,,Plot
Meda Eternity,47.04 L -52.01 L,1020-1085 sq.ft,2 BHK Apartment
Meda Eternity,55.69 L -58.87 L,1245-1250 sq.ft,3 BHK Apartment
Mantri Webcity,56.90 L -92.50 L,950-1010 sq.ft,2 BHK Apartment
Mantri Webcity,74.87 L -1.60 Cr,1250-1740 sq.ft,3 BHK Apartment
Mahaveer Carnation,56.23 L -60.51 L,1202-1285 sq.ft,2 BHK Apartment
Mahaveer Carnation,57.20 L -70.53 L,1398-1527 sq.ft,3 BHK Apartment
VBC Oracle Heaven,47.79 L -48.50 L,1223-1241 sq.ft,2 BHK Apartment
VBC Oracle Heaven,54 L -61.72 L,1419-1420 sq.ft,3 BHK Apartment
Global Golden Pearl,25.44 L,250 sq.ft,0.5 BHK Apartment
Global Golden Pearl,30.42 L -48 L,620-636 sq.ft,1 BHK Apartment
Global Golden Pearl,40 L -85 L,895 sq.ft,2 BHK Apartment
Global Golden Pearl,59 L -62.85 L,1180-1257 sq.ft,2.5 BHK Apartment
Global Golden Pearl,72.35 L -1.75 Cr,1509-1629 sq.ft,3 BHK Apartment
Global Golden Pearl,82.75 L,1655 sq.ft,3.5 BHK Apartment
Global Golden Pearl,1.27 Cr -2.60 Cr,1917 sq.ft,4 BHK Apartment
Ozone Urbana,54.70 L -57.50 L,1195-1250 sq.ft,2 BHK Apartment
Ozone Urbana,64.67 L -71.66 L,1406-1558 sq.ft,3 BHK Apartment
Aratt Vivera,90.63 L -1.78 Cr,1920-2880 sq.ft,3 BHK Villa
Aratt Vivera,1.97 Cr -2.35 Cr,3600-3960 sq.ft,4 BHK Villa
Aratt Vivera,2.89 Cr -3.08 Cr,5400-6000 sq.ft,5 BHK Villa
Aratt Vivera,3.93 Cr,7200 sq.ft,6 BHK Villa
Skanda Avani C99,1.51 Cr -1.97 Cr,2900 sq.ft,3 BHK Villa
Skanda Avani C99,1.60 Cr -1.97 Cr,3055-3198 sq.ft,4 BHK Villa
Provident Park Square Phase I,38.47 L -55.82 L,1135-1419 sq.ft,2 BHK Apartment
Provident Park Square Phase I,51.05 L -58 L,1506-1693 sq.ft,3 BHK Apartment
Grand Gandharva,29 L -35.72 L,526 sq.ft,1 BHK Apartment
Grand Gandharva,38 L -57.58 L,680-880 sq.ft,2 BHK Apartment
Grand Gandharva,55 L -92.88 L,1106-1308 sq.ft,3 BHK Apartment
Krish Eirianwen,53.62 L -64.25 L,1113-1310 sq.ft,2 BHK Apartment
Krish Eirianwen,67.97 L -95.13 L,1418-1806 sq.ft,3 BHK Apartment
Saranya Soham,38.64 L -52.67 L,1104-1211 sq.ft,2 BHK Apartment
Saranya Soham,43.22 L -46.86 L,1235-1339 sq.ft,2.5 BHK Apartment
Saranya Soham,52.15 L -57.92 L,1490-1655 sq.ft,3 BHK Apartment
Venkat Windsor East,,2400 sq.ft,3 BHK Villa
Venkat Windsor East,3.45 Cr -4.13 Cr,4124-4195 sq.ft,4 BHK Villa
Venkat Windsor East,3.50 Cr -3.55 Cr,4200 sq.ft,4+ BHK Villa
Zonasha Paradiso,1.31 Cr -1.60 Cr,2122 sq.ft,3 BHK Apartment
Zonasha Paradiso,1.55 Cr -1.60 Cr,2322-2401 sq.ft,3.5 BHK Apartment
Zonasha Paradiso,1.99 Cr -2.13 Cr,3018 sq.ft,4 BHK Apartment
Zonasha Paradiso,2.13 Cr,3232 sq.ft,4.5 BHK Apartment
Godrej Eternity Life Plus,53.24 L -67.57 L,1348-1470 sq.ft,2 BHK Apartment
Godrej Eternity Life Plus,66.95 L -88.23 L,1695-1942 sq.ft,3 BHK Apartment
Vaishnavi Serene,29.97 L -41.95 L,635-640 sq.ft,1 BHK Apartment
Vaishnavi Serene,42 L -62.59 L,900-950 sq.ft,2 BHK Apartment
Vaishnavi Serene,50 L -72.61 L,1060-1118 sq.ft,3 BHK Apartment
Prestige Misty Waters Vista Towers,36 L -52 L,711-891 sq.ft,1 BHK Apartment
Prestige Misty Waters Vista Towers,52 L,938 sq.ft,1.5 BHK Apartment
Prestige Misty Waters Vista Towers,47.28 L -66 L,1013-1292 sq.ft,2 BHK Apartment
Prestige Misty Waters Vista Towers,66.45 L -1 Cr,1476-1938 sq.ft,3 BHK Apartment
Kolte Patil I TOWERS Exente,85.57 L -1.26 Cr,1339 sq.ft,2 BHK Apartment
Kolte Patil I TOWERS Exente,1.24 Cr,1339 sq.ft,2.5 BHK Apartment
Kolte Patil I TOWERS Exente,1 Cr -1.56 Cr,1615-1693 sq.ft,3 BHK Apartment
Kolte Patil I TOWERS Exente,1.78 Cr -2.11 Cr,2375 sq.ft,4 BHK Apartment
Myhna Maple,,2900 sq.ft,3 BHK Apartment
Myhna Maple,2.44 Cr -4.41 Cr,2900 sq.ft,3 BHK Villa
Myhna Maple,3.66 Cr,3990 sq.ft,3.5 BHK Villa
Myhna Maple,5 Cr,4250 sq.ft,4 BHK Apartment
Myhna Maple,3.30 Cr -5.90 Cr,5000 sq.ft,4 BHK Villa
Myhna Maple,5.08 Cr -6.09 Cr,4000 sq.ft,4+ BHK Villa
Myhna Maple,5.08 Cr,5530 sq.ft,5 BHK Villa
Goyal Alanoville,36.87 L -40 L,710 sq.ft,1 BHK Apartment
Goyal Alanoville,60 L -77 L,1217-1234 sq.ft,2 BHK Apartment
Goyal Alanoville,,1391 sq.ft,2.5 BHK Apartment
Goyal Alanoville,67.29 L -95 L,1691-1714 sq.ft,3 BHK Apartment
Goyal Alanoville,1.15 Cr -1.37 Cr,2093-2272 sq.ft,4 BHK Apartment
The Gran Carmen Address,46 L -63 L,655 sq.ft,1 BHK Apartment
The Gran Carmen Address,76.83 L -1.10 Cr,1270-1295 sq.ft,2 BHK Apartment
The Gran Carmen Address,99.82 L -1.58 Cr,1650-1820 sq.ft,3 BHK Apartment
Hiranandani Glen Classic,45.99 L -76.19 L,1045-1070 sq.ft,2 BHK Apartment
Hiranandani Glen Classic,74.67 L -76.19 L,1345-1375 sq.ft,2.5 BHK Apartment
Hiranandani Glen Classic,69.50 L -1.05 Cr,1535-1665 sq.ft,3 BHK Apartment
Vajram Esteva,2.08 Cr -2.53 Cr,2957 sq.ft,4 BHK Apartment
Vajram Esteva,2.08 Cr -2.68 Cr,2957-3450 sq.ft,4 BHK Villa
Vajram Esteva,2.50 Cr,3450 sq.ft,4+ BHK Villa
GM Infinite E City Town Phase II,80.30 L -81.40 L,1460-1480 sq.ft,2 BHK Apartment
GM Infinite E City Town Phase II,1.02 Cr -1.03 Cr,1870-1890 sq.ft,3 BHK Apartment
DSMAX SKYLISHCIOUS,70.35 L -88 L,1407 sq.ft,2 BHK Apartment
DSMAX SKYLISHCIOUS,70.35 L,1407 sq.ft,2.5 BHK Apartment
DSMAX SKYLISHCIOUS,95 L -1.03 Cr,2079 sq.ft,3 BHK Apartment
DSMAX SKYLISHCIOUS,1.05 Cr -1.50 Cr,3009 sq.ft,4 BHK Apartment
SLV Central park,30 L -55 L,1025-1070 sq.ft,2 BHK Apartment
SLV Central park,63 L -83 L,1500 sq.ft,3 BHK Apartment
SJR Hamilton Homes,,755-915 sq.ft,1 BHK Apartment
SJR Hamilton Homes,56.77 L -62 L,1100-1185 sq.ft,2 BHK Apartment
SJR Hamilton Homes,67.55 L -88.34 L,1337-1586 sq.ft,3 BHK Apartment
SJR Hamilton Homes,75.83 L -82.11 L,1519-1657 sq.ft,3 BHK PentHouse
SJR Hamilton Homes,93.79 L -1.05 Cr,1914-2172 sq.ft,4 BHK PentHouse
Brigade Bricklane,23.04 L,640 sq.ft,1 BHK Apartment
Brigade Bricklane,33.73 L -39 L,940-945 sq.ft,2 BHK Apartment
Brigade Bricklane,44.46 L -50.40 L,1240-1400 sq.ft,3 BHK Apartment
SJR Hamilton Homes,31.75 L -62 L,663-687 sq.ft,1 BHK Apartment
SJR Hamilton Homes,45 L -68 L,977-1022 sq.ft,2 BHK Apartment
Brick N Land Garden and Skies,23.04 L,640 sq.ft,1 BHK Apartment
Brick N Land Garden and Skies,33.73 L -39 L,940-945 sq.ft,2 BHK Apartment
Brick N Land Garden and Skies,44.46 L -50.40 L,1240-1400 sq.ft,3 BHK Apartment
Brigade Bricklane,41.92 L -45.49 L,847-919 sq.ft,1 BHK Apartment
Brigade Bricklane,25.24 L,510 sq.ft,1 RK Apartment
Brigade Bricklane,52.37 L -84 L,1164-1437 sq.ft,2 BHK Apartment
Brigade Bricklane,79 L -1.35 Cr,1732-1742 sq.ft,3 BHK Apartment
Brigade Bricklane,,3523 sq.ft,4 BHK Apartment
Brigade Bricklane,,2673 sq.ft,4+ BHK Apartment
Bhartiya City,33.99 L,1160 sq.ft,2 BHK RowHouse
Bhartiya City,33.75 L -49 L,1160 sq.ft,2 BHK Villa
Bhartiya City,47.98 L,1371 sq.ft,3 BHK Villa
Pride Sunrise,62.98 L -78.89 L,940-1200 sq.ft,2 BHK Apartment
Pride Sunrise,76.44 L -1.01 Cr,1160-1570 sq.ft,3 BHK Apartment
NYK Metro Urbano,15 L,1200 sq.ft,Plot
NYK Metro Urbano,17 L -29 L,570 sq.ft,1 BHK Apartment
NYK Metro Urbano,25 L -29 L,797 sq.ft,2 BHK Apartment
SKS Garden,2.59 Cr -2.60 Cr,,3 BHK Apartment
SKS Garden,3.29 Cr -3.30 Cr,,4 BHK Apartment
SKS Garden,3.74 Cr -4.69 Cr,3764 sq.ft,4+ BHK Apartment
SKS Garden,3.74 Cr -4.69 Cr,,4.5 BHK PentHouse
Assetz Marq Phase 2,50.40 L -1 Cr,,Plot
Shriram Blue,,915 sq.ft,1 BHK Apartment
Shriram Blue,70 L -70.28 L,1245-1250 sq.ft,2 BHK Apartment
Shriram Blue,74.11 L -85 L,1480-1530 sq.ft,3 BHK Apartment
Bren Starlight,56.18 L -79 L,1286 sq.ft,2 BHK Apartment
Bren Starlight,64.10 L -1.27 Cr,1366-1906 sq.ft,3 BHK Apartment
Bren Starlight,1.06 Cr -1.45 Cr,2232 sq.ft,4 BHK Apartment
Surbacon Aspen,31.50 L -35 L,600-700 sq.ft,1 BHK Apartment
Surbacon Aspen,51.75 L -78 L,1150-1300 sq.ft,2 BHK Apartment
Surbacon Aspen,67.50 L -1.10 Cr,1500-2200 sq.ft,3 BHK Apartment
Advaitha Aksha,3.90 K -59.73 L,1085-1230 sq.ft,2 BHK Apartment
Advaitha Aksha,51.87 L -67.15 L,1330-1500 sq.ft,3 BHK Apartment
Hilife Greens,1.04 Cr,1810 sq.ft,3 BHK Apartment
Hilife Greens,1.35 Cr -1.40 Cr,2335 sq.ft,3 BHK Villa
Hilife Greens,1.35 Cr -1.40 Cr,2290-2335 sq.ft,3 BHK Villament
Concorde Spring Meadows,1.29 Cr,2043 sq.ft,3 BHK Villa
Concorde Spring Meadows,1.51 Cr -2.50 Cr,2415 sq.ft,4 BHK Villa
Concorde Spring Meadows,1.98 Cr,3183 sq.ft,5 BHK Villa
Nester Earth Villaments,25 L -42.75 L,596-804 sq.ft,1 BHK Apartment
Nester Earth Villaments,36.15 L -68 L,1076-1199 sq.ft,2 BHK Apartment
Nester Earth Villaments,50.80 L -77.29 L,1210-1456 sq.ft,3 BHK Apartment
Klassik Landmark,1.40 Cr,2200 sq.ft,3 BHK Apartment
Klassik Landmark,1.25 Cr,2200 sq.ft,3 BHK Villa
Klassik Landmark,1.47 Cr -1.89 Cr,2150-2917 sq.ft,3 BHK Villament
42 Queens Square,78 L -1.56 Cr,1691-2170 sq.ft,3 BHK Apartment
42 Queens Square,2.72 Cr,4260 sq.ft,4 BHK Apartment
42 Queens Square,3.07 Cr -3.18 Cr,4260-4408 sq.ft,4 BHK PentHouse
Godrej Aqua,27.33 L -27.33 L,692 sq.ft,1 BHK Apartment
Godrej Aqua,29.26 L -29.26 L,741 sq.ft,2 BHK Apartment
Brigade Buena Vista Phase I,31.85 L -37.54 L,720-760 sq.ft,1 BHK Apartment
Brigade Buena Vista Phase I,5.72 L -77 L,1170-1200 sq.ft,2 BHK Apartment
Brigade Buena Vista Phase I,77.36 L,1520 sq.ft,2.5 BHK Apartment
Brigade Buena Vista Phase I,73 L -1.08 Cr,1500-1670 sq.ft,3 BHK Apartment
Brigade Buena Vista Phase I,1.17 Cr -1.23 Cr,2440 sq.ft,4 BHK Apartment
Artha Emprasa Startup City,50 L -85 L,1103-1311 sq.ft,2 BHK Apartment
Artha Emprasa Startup City,65 L -1.26 Cr,1451-1911 sq.ft,3 BHK Apartment
Tirumala Heights,41.02 L -51 L,1026-1272 sq.ft,2 BHK Apartment
Tirumala Heights,63.98 L -72 L,1600-1795 sq.ft,3 BHK Apartment
Provident Park Square Phase II,33.52 L -38.82 L,1265-1465 sq.ft,2 BHK Apartment
Provident Park Square Phase II,43.19 L -49.95 L,1630-1885 sq.ft,3 BHK Apartment
Banashree Arka Forest View,43.45 L -86 L,,2 BHK Apartment
Banashree Arka Forest View,70.92 L,,2.5 BHK Apartment
Banashree Arka Forest View,56.62 L -86 L,,3 BHK Apartment
Arvind Skylands,29 L -34.39 L,526 sq.ft,1 BHK Apartment
Arvind Skylands,35 L -53.99 L,680-880 sq.ft,2 BHK Apartment
Arvind Skylands,56 L -74 L,1106 sq.ft,3 BHK Apartment
Adarsh Citrine,36.10 L,690 sq.ft,1 BHK Apartment
Adarsh Citrine,52 L -61.93 L,1160-1170 sq.ft,2 BHK Apartment
Adarsh Citrine,67.70 L,1300 sq.ft,2.5 BHK Apartment
Adarsh Citrine,74.90 L -80.70 L,1450-1570 sq.ft,3 BHK Apartment
Aakruti Amity ,1.07 Cr -1.14 Cr,1335-1455 sq.ft,2 BHK Apartment
Aakruti Amity ,1.07 Cr -1.63 Cr,1815-2085 sq.ft,3 BHK Apartment
Brigade Parkside East,,700-750 sq.ft,1 BHK Apartment
Brigade Parkside East,36.40 L -47.10 L,1100-1200 sq.ft,2 BHK Apartment
Brigade Parkside East,55 L -80 L,1590-2125 sq.ft,3 BHK Apartment
Kritan Iris,22.42 L -28.50 L,590-750 sq.ft,1 BHK Apartment
Kritan Iris,47.31 L -61.75 L,1245-1625 sq.ft,2 BHK Apartment
Kritan Iris,56.05 L -70 L,1475-1720 sq.ft,3 BHK Apartment
MJR Clique Hercules,40 L -40.05 L,704-711 sq.ft,1 BHK Apartment
MJR Clique Hercules,62.80 L -78 L,1144-1252 sq.ft,2 BHK Apartment
HRC Ibbani,84 L -1.25 Cr,1229-1307 sq.ft,2 BHK Apartment
HRC Ibbani,1.08 Cr -1.25 Cr,1450-1679 sq.ft,2.5 BHK Apartment
HRC Ibbani,1.03 Cr -1.24 Cr,1604-1667 sq.ft,3 BHK Apartment
SV Spring Woods,1.40 Cr -1.70 Cr,1970 sq.ft,3 BHK Apartment
SV Spring Woods,1.60 Cr -2.30 Cr,2322-2425 sq.ft,4 BHK Apartment
SV Spring Woods,,2565 sq.ft,4+ BHK Apartment
Purva Whitehall,48.72 L -57.24 L,1160-1215 sq.ft,2 BHK Apartment
Purva Whitehall,61.74 L -72.08 L,1470-1600 sq.ft,3 BHK Apartment
MV Vajra Value Plus,49.27 L -51.52 L,1095-1145 sq.ft,2 BHK Apartment
MV Vajra Value Plus,52.42 L -54.90 L,1165-1220 sq.ft,2.5 BHK Apartment
MV Vajra Value Plus,61.65 L -73.35 L,1370-1630 sq.ft,3 BHK Apartment
G R Luxuria,72 L -99 L,960-1320 sq.ft,2 BHK Apartment
G R Luxuria,1.06 Cr -1.16 Cr,1420-1555 sq.ft,3 BHK Apartment
Elite Sai Gardens,50 L -60.44 L,,Plot
Adonis Plots,2.50 K -59.97 L,,Plot
Sobha City,75 L -1.38 Cr,2005-2100 sq.ft,2 BHK Apartment
Sobha City,1.36 L -1.59 Cr,1950 sq.ft,3 BHK Apartment
Sobha City,,3200 sq.ft,4 BHK Villa
Prestige Deja Vu,3.36 Cr -4.30 Cr,2775-2797 sq.ft,3 BHK Apartment
Eshwaree Orchids,28.80 L,640 sq.ft,1 BHK Apartment
Eshwaree Orchids,43.20 L -57.15 L,960-1270 sq.ft,2 BHK Apartment
Eshwaree Orchids,62.10 L -69.97 L,1380-1555 sq.ft,3 BHK Apartment
Shriram Codename Break Free,35 L -3.91 Cr,850 sq.ft,2 BHK Apartment
Shriram Codename Break Free,40 L -47 L,1000 sq.ft,3 BHK Apartment
Hara Vijaya Heights,28 L -39.59 L,666 sq.ft,1 BHK Apartment
Hara Vijaya Heights,37 L -57.08 L,972-1008 sq.ft,2 BHK Apartment
Hara Vijaya Heights,51.54 L -52.59 L,1332 sq.ft,3 BHK Apartment
Ajmera Lugaano,51.50 L -64.80 L,1065-1220 sq.ft,2 BHK Apartment
Ajmera Lugaano,68 L -83.50 L,1420-1630 sq.ft,3 BHK Apartment
HM Crescendo,79 L -98 L,1059-1278 sq.ft,2 BHK Apartment
HM Crescendo,1.10 Cr -1.35 Cr,1515-1634 sq.ft,3 BHK Apartment
Home Town The Address,92.23 L -1.27 Cr,1521-1634 sq.ft,2 BHK Apartment
Home Town The Address,1.18 Cr -1.49 Cr,1783-1978 sq.ft,3 BHK Apartment
Century Central,63.82 L -78.10 L,1010-1265 sq.ft,2 BHK Apartment
Subhams Antique City,35.19 L -62 L,880-1180 sq.ft,2 BHK Apartment
Subhams Antique City,50.78 L -76 L,1270-1510 sq.ft,3 BHK Apartment
Essem18 Poetree,65 L -1.30 Cr,1572-2282 sq.ft,3 BHK Villa
Peninsula Solitaire,71.45 L -75.73 L,1203-1275 sq.ft,2 BHK Apartment
Peninsula Solitaire,87 L -97.17 L,1477-1636 sq.ft,3 BHK Apartment
Maarq Alpha,,780 sq.ft,1 BHK Apartment
Maarq Alpha,64.03 L,1306 sq.ft,2 BHK Apartment
Maarq Alpha,,1261-1306 sq.ft,2.5 BHK Apartment
Maarq Alpha,66.60 L -77.32 L,1298-1461 sq.ft,3 BHK Apartment
Maarq Alpha,,560-746 sq.ft,Studio BHK Apartment
Purnima Palmgrove,36.12 L -46.75 L,850-1100 sq.ft,2 BHK Apartment
Vaishno Solitaire,63.86 L -70.67 L,1080-1205 sq.ft,2 BHK Apartment
Vaishno Solitaire,79.93 L -88.65 L,1375-1535 sq.ft,3 BHK Apartment
Bren Northern Lights,32.83 L -35.74 L,596 sq.ft,1 BHK Apartment
Bren Northern Lights,32.07 L,580 sq.ft,1.5 BHK Apartment
Bren Northern Lights,33.11 L -45.74 L,602-790 sq.ft,2 BHK Apartment
Sobha City Santorini,13.52 L -30.58 L,520-645 sq.ft,1 BHK Apartment
Sobha City Santorini,21.95 L -38.36 L,950-1025 sq.ft,2 BHK Apartment
Sobha City Santorini,28.86 L -38.36 L,1110-1225 sq.ft,3 BHK Apartment
Assetz Here & Now,52 L -56 L,,2 BHK Apartment
Assetz Here & Now,68 L,,3 BHK Apartment
Subha 9 Sky Vue,98.49 L -1.02 Cr,1340-1400 sq.ft,2 BHK Apartment
Subha 9 Sky Vue,1.07 Cr -1.25 Cr,1697-1735 sq.ft,3 BHK Apartment
Camellia Pride,32.67 L -49 L,660-690 sq.ft,1 BHK Apartment
Camellia Pride,23.31 L,440 sq.ft,1 RK StudioApartment
Camellia Pride,48.75 L -77.05 L,990 sq.ft,2 BHK Apartment
Camellia Pride,70.36 L -91.43 L,1380 sq.ft,3 BHK Apartment
Confident Sagitta,37.37 L -38.18 L,1196-1222 sq.ft,2 BHK Apartment
Confident Sagitta,43.87 L -47.84 L,1404-1531 sq.ft,3 BHK Apartment
GR Santhrupthi,51.88 L -65.34 L,1195-1270 sq.ft,2 BHK Apartment
GR Santhrupthi,65.13 L -95 L,1520-1705 sq.ft,3 BHK Apartment
GR Santhrupthi,86.17 L -87.44 L,2036-2067 sq.ft,3 BHK PentHouse
Spad Classic Nakshatra Nestilo,2.13 Cr,3025 sq.ft,3 BHK Villa
Spad Classic Nakshatra Nestilo,2.48 Cr,3425 sq.ft,4 BHK Villa
Countryside Raindance,57.97 L -66.20 L,1050-1250 sq.ft,2 BHK Apartment
Countryside Raindance,75.61 L -79.13 L,1405-1480 sq.ft,3 BHK Apartment
Sruthika Springfields,73 L -1.20 Cr,1550 sq.ft,2 BHK Apartment
Sruthika Springfields,1.52 Cr -2.17 Cr,2210-2790 sq.ft,3 BHK Apartment
Sruthika Springfields,2.52 Cr -2.62 Cr,3360 sq.ft,4 BHK Apartment
VRR Golden Enclave,40 L -54 L,909-1215 sq.ft,2 BHK Apartment
VRR Golden Enclave,51.34 L -84 L,1314-1809 sq.ft,3 BHK Apartment
Brigade Lakefront Blue,2.17 Cr,4100 sq.ft,4 BHK Villa
Saket Callipolis,71.61 L -90 L,1302-1369 sq.ft,2 BHK Apartment
Saket Callipolis,35 K -1.45 Cr,1719 sq.ft,3 BHK Apartment
Saket Callipolis,1.46 Cr,2550 sq.ft,3.5 BHK Apartment
SS Vrudhi,65.61 L -71.28 L,1215 sq.ft,2 BHK Apartment
SS Vrudhi,93.93 L -1.20 Cr,1515-1885 sq.ft,3 BHK Apartment
SNN Raj Grandeur,1.63 Cr -1.84 Cr,3010 sq.ft,4 BHK Apartment
SNN Raj Grandeur,1.71 Cr -2.07 Cr,3050-3410 sq.ft,4 BHK Villa
Brigade Atmosphere,45.62 L -53.05 L,1010-1184 sq.ft,2 BHK Apartment
Brigade Atmosphere,57.83 L -64.20 L,1296-1445 sq.ft,3 BHK Apartment
Orchid Piccadilly,52 L -83.66 L,1165 sq.ft,2 BHK Apartment
Orchid Piccadilly,81.13 L -83.66 L,1371 sq.ft,2.5 BHK Apartment
Orchid Piccadilly,64.29 L -95.13 L,1572 sq.ft,3 BHK Apartment
Umiya Woods Apartment,78.62 L,1285-1295 sq.ft,2 BHK Apartment
Umiya Woods Apartment,1.03 Cr -1.20 Cr,1765-1850 sq.ft,3 BHK Apartment
Pride Enchanta Phase II,21.99 L -21.99 L,475 sq.ft,1 BHK Apartment
Pride Enchanta Phase II,28.99 L -29.99 L,642-727 sq.ft,2 BHK Apartment
Pride Enchanta Phase II,32.83 L -39.65 L,838-841 sq.ft,3 BHK Apartment
Prestige White Meadows,31.46 L -36.20 L,671-772 sq.ft,1 BHK Apartment
Prestige White Meadows,45.12 L -60 L,1005-1300 sq.ft,2 BHK Apartment
Prestige White Meadows,63.98 L -73.41 L,1425-1635 sq.ft,3 BHK Apartment
Iconest 3,68.85 L -1.09 Cr,,2 BHK Apartment
Iconest 3,91.41 L -1.39 Cr,,3 BHK Apartment
Meadows - Plumeria Lifestyle,23.41 K,,2 BHK Apartment
Meadows - Plumeria Lifestyle,3.31 Cr -7.63 Cr,5576-7854 sq.ft,4 BHK Apartment
Meadows - Plumeria Lifestyle,6 Cr -8.22 Cr,6219 sq.ft,4 BHK Villa
Meadows - Plumeria Lifestyle,,4041 sq.ft,4+ BHK Apartment
Meadows - Plumeria Lifestyle,7.75 Cr,6219 sq.ft,4+ BHK Villa
