names,Price,Area,Unit Type
Mahendra Aarna,45.98 L -77.53 L,1045-1110 sq.ft,2 BHK Apartment
Mahendra Aarna,74.50 L -79.29 L,1290-1380 sq.ft,2.5 BHK Apartment
Mahendra Aarna,53.73 L -87.54 L,1465-1535 sq.ft,3 BHK Apartment
G Corp The Icon,1 Cr -1.50 Cr,1301 sq.ft,2 BHK Apartment
G Corp The Icon,1.04 Cr -1.95 Cr,,3 BHK Apartment
G Corp The Icon,1.62 Cr -4.53 Cr,,4 BHK Apartment
G Corp The Icon,3.18 Cr -4.53 Cr,,4 BHK PentHouse
Vaishnavi Terraces,2.10 Cr -2.74 Cr,2455-2536 sq.ft,3 BHK Apartment
Vaishnavi Terraces,3.10 Cr -4.83 Cr,3563-4046 sq.ft,4 BHK Apartment
Prestige Misty Waters phase 1,85.57 L -1.20 Cr,1134-1141 sq.ft,2 BHK Apartment
Prestige Misty Waters phase 1,1 Cr -1.05 Cr,1294-1349 sq.ft,2.5 BHK Apartment
Prestige Misty Waters phase 1,99 L -1.73 Cr,1987-1991 sq.ft,3 BHK Apartment
Prestige Misty Waters phase 1,1.78 Cr -2.30 Cr,2392-2483 sq.ft,4 BHK Apartment
SMD Altezz,58.48 L -59.40 L,1300-1320 sq.ft,2 BHK Apartment
SMD Altezz,66 L -76 L,1475-1670 sq.ft,3 BHK Apartment
Rohan Akriti,75 L -1.02 Cr,1133-1265 sq.ft,2 BHK Apartment
Rohan Akriti,92.19 L -1 Cr,1399-1530 sq.ft,2.5 BHK Apartment
Rohan Akriti,85 L -1.35 Cr,1598-1693 sq.ft,3 BHK Apartment
Durga Petals,52 L -90 L,840-877 sq.ft,1 BHK Apartment
Durga Petals,33.79 L -1.08 Cr,850-1173 sq.ft,2 BHK Apartment
Durga Petals,90.90 L,1350 sq.ft,2.5 BHK Apartment
Durga Petals,64.80 L -1.24 Cr,1564-1639 sq.ft,3 BHK Apartment
Casagrand Lorenza,40.39 L -64.15 L,1010-1147 sq.ft,2 BHK Apartment
Casagrand Lorenza,56.31 L -94.51 L,1408-1732 sq.ft,3 BHK Apartment
Orchid Whitefield,29.24 L -42.42 L,,1 BHK Apartment
Orchid Whitefield,34.18 L -34.59 L,,1.5 BHK Apartment
Orchid Whitefield,41.89 L -73.50 L,,2 BHK Apartment
Orchid Whitefield,65.39 L,,2.5 BHK Apartment
Orchid Whitefield,56.20 L -86 L,,3 BHK Apartment
The Central Regency Address,85 L -1.24 Cr,1454-1609 sq.ft,2 BHK Apartment
The Central Regency Address,1.05 Cr -1.64 Cr,1920-2105 sq.ft,3 BHK Apartment
The Central Regency Address,1.50 Cr,1920 sq.ft,4 BHK Apartment
Brigade Exotica - Azure Tower,1.45 Cr -2.20 Cr,2990-3190 sq.ft,3 BHK Apartment
Brigade Exotica - Azure Tower,2.41 Cr -2.58 Cr,3630-3800 sq.ft,4 BHK Apartment
Brigade Exotica - Azure Tower,,5026 sq.ft,4+ BHK Apartment
Brigade Exotica - Azure Tower,4.05 Cr,5030 sq.ft,5 BHK PentHouse
Sobha Heritage,87 L -1.25 Cr,1304-1434 sq.ft,2 BHK Apartment
Sobha Heritage,1.30 L -1.78 Cr,1612-1817 sq.ft,3 BHK Apartment
Keerthi Royal Palms,40.59 L -51.25 L,990-1250 sq.ft,2 BHK Apartment
Keerthi Royal Palms,50.22 L -85 L,1225-1780 sq.ft,3 BHK Apartment
Vmaks Laurel,36.37 L -45 L,1155-1375 sq.ft,2 BHK Apartment
Vmaks Laurel,49.91 L -52.14 L,1585-1656 sq.ft,3 BHK Apartment
Janaadhar Shubha Phase II,19 L -25 L,650-656 sq.ft,2 BHK Apartment
Total Environment Learning To Fly,2.69 Cr -3.93 Cr,3103 sq.ft,3 BHK Apartment
Total Environment Learning To Fly,4.42 Cr -6.50 Cr,5249 sq.ft,4 BHK Apartment
Premier Inspira Maplewood,60 L -83.97 L,1168-1369 sq.ft,2 BHK Apartment
Premier Inspira Maplewood,79 L -1.04 Cr,1402-1633 sq.ft,3 BHK Apartment
Brigade Panorama,55 L,888 sq.ft,1 BHK Apartment
Brigade Panorama,49 L -75 L,942-1117 sq.ft,2 BHK Apartment
Brigade Panorama,64.71 L -1.08 Cr,1407-1810 sq.ft,3 BHK Apartment
Prestige Pine Wood,1.61 Cr -2.22 Cr,1249 sq.ft,2 BHK Apartment
Prestige Pine Wood,1.78 Cr -1.80 Cr,1385-1404 sq.ft,2.5 BHK Apartment
Prestige Pine Wood,1.70 Cr -2.68 Cr,1839-1866 sq.ft,3 BHK Apartment
Prestige Pine Wood,3.12 Cr -3.59 Cr,2461-2503 sq.ft,4 BHK Apartment
The County Address,24.99 L -53.20 L,475-697 sq.ft,1 BHK Apartment
The County Address,36.64 L,672 sq.ft,1.5 BHK Apartment
The County Address,41 L -64 L,941-1176 sq.ft,2 BHK Apartment
The County Address,54 L -77 L,1346-1441 sq.ft,3 BHK Apartment
Ahad Excellencia,28 L -71.76 L,,Plot
Celebrity Serenity,73.73 L -96.50 L,1741-2074 sq.ft,3 BHK Villa
Sashank Advaith,32.75 L,708 sq.ft,1 BHK Apartment
Sashank Advaith,32.75 L,708 sq.ft,1.5 BHK Apartment
Sashank Advaith,31.52 L -50.27 L,815-1163 sq.ft,2 BHK Apartment
Sashank Advaith,55 L -61.26 L,1286 sq.ft,3 BHK Apartment
Tata New Haven,43.40 L -60.60 L,1085-1515 sq.ft,2 BHK Apartment
Tata New Haven,54.80 L -67.80 L,1370-1695 sq.ft,3 BHK Apartment
Smart Homz Blue Bells,41.47 L -51.69 L,684-810 sq.ft,1 BHK Apartment
Smart Homz Blue Bells,58.45 L -71.98 L,1039-1279 sq.ft,2 BHK Apartment
Smart Homz Blue Bells,79.90 L -97.84 L,1435-1757 sq.ft,3 BHK Apartment
CoEvolve Northern Star,67.99 L -88.80 L,1716-2220 sq.ft,3 BHK Villa
Kritan Ira,29.45 L,750 sq.ft,0.5 BHK Apartment
Kritan Ira,29.45 L -43.50 L,750 sq.ft,1 BHK Apartment
Kritan Ira,43.10 L -47.10 L,1100-1200 sq.ft,2 BHK Apartment
Kritan Ira,63.30 L,1650 sq.ft,3 BHK Apartment
Prestige Bagamane Temple Bells,32.65 L -43 L,628-648 sq.ft,1 BHK Apartment
Prestige Bagamane Temple Bells,60.16 L -1.10 Cr,1157-1360 sq.ft,2 BHK Apartment
